video,filament_id,observations,first_frame,last_frame,lifetime_min,mean_length_um,max_length_um,mean_span_length_um,mean_arc_length_um,length_change_rate_um_per_min,arc_trajectory_um,net_displacement_um,directionality,mean_speed_um_per_min,max_speed_um_per_min,speed_std_um_per_min,mean_z_plane_count,max_z_plane_count,z_spread_um,z_center_um,mean_intensity,sum_intensity,max_intensity,start_x_um,start_y_um,start_z_um,end_x_um,end_y_um,end_z_um
ch20_URA7_URA8_001_hyperstack_crop_33,4,11,18,46,420.0,1.3774667356659214,3.320610327717822,1.4166964489071863,2.491715081745625,-0.00046010039861531303,27.408865899201874,2.516707298237124,0.17734684134480996,0.055422869255710924,0.16434968075413928,0.04511328283995464,2.090909090909091,3,0.6,0.11165773015699286,145.4280145818537,31308.0,167.0,19.5,24.768749999999997,0.09375,18.380000000000003,27.02,0.2
ch20_URA7_URA8_001_hyperstack_crop_34,3,36,3,40,555.0,1.5565384573149403,2.036773364816785,1.7389302074672544,2.5090060275318673,-0.0010905336090532075,90.32421699114722,3.720526044739751,0.10914518997015198,0.05992033636088954,0.2138310818753058,0.03924854752554108,3.4722222222222223,5,1.2,0.2768172982618435,153.01386091444226,294102.0,253.0,20.863636363636363,17.89090909090909,0.0,17.26363636363636,16.98181818181818,0.23636363636363633
ch20_URA7_URA8_001_hyperstack_crop_34,4,16,3,49,690.0,2.080038695186728,4.014764164030867,2.521841546224156,5.4291620759260475,0.0003418081873475666,86.86659321481676,3.65179592897451,0.2030506995485863,0.048698430931999916,0.13211207277627088,0.03196155257687029,3.1875,5,1.2,0.24188330477219114,141.4190549850464,139044.0,191.0,21.207692307692312,25.615384615384617,0.11538461538461539,17.56595744680851,25.851063829787226,0.24893617021276596
ch20_URA7_URA8_001_hyperstack_crop_35,3,16,20,39,285.0,2.1442675305336674,3.716249825765799,2.372969748131456,4.1835655926545945,0.0015563643541202828,66.93704948247351,5.750784712460879,0.21377344305210277,0.11238118286211453,0.30963938052349366,0.08663006818701433,3.6875,5,1.2,0.319275107253229,152.03229522705078,181412.0,227.0,19.213043478260865,16.539130434782606,0.3260869565217391,21.804000000000002,21.671999999999997,0.21599999999999997
ch20_URA7_URA8_001_hyperstack_crop_36,3,9,3,26,345.0,1.1104539896615588,1.574226880012938,1.1755635480224311,1.789113454477685,0.00048693984227281517,16.102021090299164,4.687335303229115,0.4311568801278974,0.03750043902060575,0.11962128605546057,0.03324191469495323,2.4444444444444446,3,0.6,0.2129666146653029,144.8137936062283,29412.0,174.0,15.75,15.24,0.42000000000000004,19.32857142857143,18.25714285714286,0.17142857142857143
ch20_URA7_URA8_001_hyperstack_crop_36,4,39,2,46,660.0,1.8168294859336116,4.179823398502276,2.031980679406123,3.6603515228673698,-0.0027798235060785548,142.7537093918274,3.049658450821441,0.125503656551715,0.038399576040333096,0.09026066809244229,0.020404042480397046,3.1538461538461537,4,0.8999999999999999,0.22864871690402794,140.16088280310998,252682.0,180.0,17.65,22.125000000000004,0.14166666666666666,17.866666666666667,25.166666666666664,0.09999999999999999
ch20_URA7_URA8_001_hyperstack_crop_37,3,29,17,49,480.0,1.490315906905027,2.6428804755470106,1.6220637151388413,2.617406661516126,-0.0007023389536217376,75.90479318396766,1.8631042763030476,0.07291044548998996,0.05450013805478966,0.12388916012860131,0.029361662059364392,3.5172413793103448,5,1.2,0.3092501885412341,135.81190648572198,165533.0,169.0,22.044230769230772,19.47692307692308,0.1961538461538461,22.575,17.7,0.375
ch20_URA7_URA8_001_hyperstack_crop_40,4,11,2,42,600.0,1.0025139862473216,3.4821647254344845,0.9941586849569313,1.7522023776768365,-0.00041430299706869623,19.274226154445202,3.0944840038365076,0.22332575981160602,0.04721452748897766,0.12994686710961909,0.0357157364811608,1.8181818181818181,2,0.3,0.06635330578512395,139.7261824174361,17768.0,157.0,19.575,26.25,0.0375,19.740000000000002,23.159999999999997,0.06
ch20_URA7_URA8_001_hyperstack_crop_41,4,34,2,35,495.0,2.2550052431812295,3.6873537351976466,2.534351620115447,4.232122872043597,-0.00021763753505763854,143.89217764948228,0.987192174150069,0.05225265631824653,0.03816700939372491,0.07548321032304729,0.01634868175098937,3.7058823529411766,5,1.2,0.2745247883904774,141.58875005385454,343294.0,176.0,19.827272727272728,26.11704545454546,0.28295454545454546,19.482608695652175,27.039130434782606,0.208695652173913
ch20_URA7_URA8_001_hyperstack_crop_42,1,15,35,49,210.0,2.2118574573936374,2.7382535745347347,2.506298587280668,4.372183656799633,0.0042786627334674915,65.5827548519945,1.8981207676163385,0.19605302044027137,0.04610319342025256,0.08356596873085032,0.019828033613019498,4.533333333333333,5,1.2,0.4192237605417317,149.7288787841797,237257.0,206.0,23.935714285714283,21.47142857142858,0.08571428571428572,24.900000000000002,19.86455696202531,0.38734177215189863
ch20_URA7_URA8_001_hyperstack_crop_42,4,3,18,25,105.0,2.1015299774471856,3.1293641369876886,2.146593436467344,3.58533387395083,-0.023591489688222965,10.756001621852489,1.9354231255069727,0.8919974676064449,0.02038030712471346,0.022369025727121242,0.001988718602407784,2.3333333333333335,3,0.6,0.12281771501925544,146.5394744873047,12588.0,166.0,22.156097560975613,28.741463414634143,0.18292682926829268,20.625,27.5625,0.075
ch20_URA7_URA8_001_hyperstack_crop_43,2,12,4,49,675.0,2.326616853142346,3.540214427149784,2.6635730089926146,4.8388204943230155,4.072064029272766e-05,58.06584593187619,4.284266527328406,0.29827815981668376,0.07493049345209424,0.22570923094766915,0.06508671184559547,4.833333333333333,5,1.2,0.43119534805374365,153.10894902547201,226662.0,225.0,19.797744360902254,12.552631578947368,0.3789473684210527,16.324719101123595,15.060674157303373,0.43146067415730344
ch20_URA7_URA8_001_hyperstack_crop_44,4,7,39,45,90.0,1.645823057318759,2.0567467111792013,1.8668410145886831,3.291695468580935,0.0033509284497710338,23.041868280066545,1.4410861253441942,0.30743012437201667,0.05208360141052399,0.08658851229862127,0.026478726670420775,4.285714285714286,5,1.2,0.3964968330924937,172.66643633161272,85613.0,262.0,17.072413793103443,25.493103448275864,0.3586206896551723,17.621739130434783,24.166304347826088,0.47934782608695664
ch20_URA7_URA8_001_hyperstack_crop_45,1,12,6,40,510.0,2.607987279242483,3.870506057848036,2.967624468962571,5.110977973031536,0.0002424128162810995,61.331735676378436,1.4514611000871571,0.11839335365630076,0.07217769851367223,0.21133396675292512,0.060578818281801776,4.25,5,1.2,0.4015559817419327,156.7758026123047,252176.0,214.0,17.63606557377049,17.09016393442623,0.2262295081967213,19.025714285714283,17.457142857142856,0.42857142857142855
ch20_URA7_URA8_001_hyperstack_crop_46,1,3,11,14,45.0,1.6976644141711137,3.325245747868858,1.6819758132762026,2.73573806546329,0.05257723186098352,8.20721419638987,1.054738306599397,0.7972140000640099,0.032627188963390286,0.042306733434260106,0.009679544470869819,2.0,2,0.3,0.13660714285714284,139.2202351888021,11814.0,165.0,14.081249999999999,11.85,0.13124999999999998,15.080357142857142,11.512500000000001,0.14999999999999997
ch20_URA7_URA8_001_hyperstack_crop_46,3,11,9,42,495.0,1.6769668915072535,3.5602063486314486,1.7495395725348468,2.723070901106753,0.002497876994793929,29.953779912174284,1.0614535351424632,0.08375318738460862,0.04489169186522247,0.10870383798970021,0.02984212948797705,2.909090909090909,5,1.2,0.22475265153176355,139.93845575506037,60353.0,175.0,20.823529411764707,14.258823529411764,0.14117647058823526,21.3375,15.187499999999998,0.15
ch20_URA7_URA8_002_hyperstack_crop_02,2,20,16,48,480.0,2.4596818865448435,3.6892188290815437,2.764809633797383,6.087797582436386,0.0025515712200467567,121.75595164872773,1.5990746434532612,0.09927070520819181,0.042959385630706254,0.09797921335671157,0.023047725225936122,4.4,5,1.2,0.4955463294924435,156.56221694946288,298250.0,212.0,25.11818181818182,1.8545454545454547,0.13636363636363635,23.666666666666668,2.4750000000000005,0.3916666666666667
ch20_URA7_URA8_002_hyperstack_crop_02,5,3,41,43,30.0,1.3465585384028904,1.9004974169692643,1.4424226932121877,2.288608519658389,-0.027577286612503825,6.8658255589751676,0.2208075668416159,0.9243026143532567,0.007963033008625537,0.013731689075673544,0.0057686560670480065,3.3333333333333335,4,0.8999999999999999,0.21204633204633203,151.89100138346353,15220.0,184.0,20.82162162162162,3.0000000000000004,0.26756756756756755,20.82857142857143,2.8285714285714283,0.12857142857142856
ch20_URA7_URA8_002_hyperstack_crop_03,2,6,3,8,75.0,2.3402494895621886,3.3941250870910187,2.6520808128637894,4.164235052004695,-0.009540393180439246,24.985410312028172,3.242253111273666,0.499982265702584,0.08646314969372215,0.13632760286072124,0.03844571747762688,4.0,5,1.2,0.32711652063709823,157.80089823404947,78108.0,222.0,20.771428571428572,2.4642857142857144,0.33928571428571425,20.690624999999997,5.699999999999999,0.15
