video,frame,filament_id,voxel_count,volume_um3,z_plane_count,centroid_x_um,centroid_y_um,centroid_z_um,z_spread_um,robust_length_um,span_length_um,arc_length_um,mean_intensity,sum_intensity,max_intensity
ch20_URA7_URA8_001_hyperstack_crop_01,17,5,61,1.647,4,22.34754098360656,24.865573770491807,0.34918032786885234,0.8999999999999999,1.4410524152841573,1.5943253088421279,2.0034192965158604,135.1311492919922,8243.0,151.0
ch20_URA7_URA8_001_hyperstack_crop_01,18,5,17,0.4589999999999999,3,22.53529411764706,24.564705882352943,0.17647058823529413,0.6,0.9428090415820626,0.848528137423857,0.996627589562096,136.2941131591797,2317.0,149.0
ch20_URA7_URA8_001_hyperstack_crop_01,19,5,7,0.189,2,22.714285714285715,24.214285714285715,0.08571428571428572,0.3,0.6044729068548038,0.6318513688653278,1.091687530129407,135.85714721679688,951.0,146.0
ch20_URA7_URA8_001_hyperstack_crop_01,20,5,48,1.2959999999999998,3,22.0125,23.825,0.26875,0.6,1.5897364001967047,1.889635182962913,3.3987219897510172,131.8958282470703,6331.0,141.0
ch20_URA7_URA8_001_hyperstack_crop_01,21,5,44,1.1879999999999997,3,22.424999999999997,23.754545454545454,0.2454545454545454,0.6,1.56535670763429,1.7096745753383615,2.63721214769021,133.7954559326172,5887.0,150.0
ch20_URA7_URA8_001_hyperstack_crop_01,22,5,36,0.9719999999999999,2,21.841666666666665,23.78333333333333,0.10833333333333332,0.3,1.9034934577748177,2.1096430675840807,4.107949195387027,132.27777099609375,4762.0,150.0
ch20_URA7_URA8_001_hyperstack_crop_01,23,5,24,0.6479999999999999,2,22.412499999999998,23.2375,0.13749999999999998,0.3,1.1494940333389634,1.0701271118568014,1.1338695241001937,134.2916717529297,3223.0,147.0
ch20_URA7_URA8_001_hyperstack_crop_01,33,5,1,0.027,1,22.2,24.0,0.0,0.0,0.0,0.0,0.0,128.0,128.0,128.0
ch20_URA7_URA8_001_hyperstack_crop_01,35,5,21,0.567,2,21.842857142857138,23.714285714285715,0.17142857142857137,0.3,1.0290457792227112,1.1003460180613804,1.8997779641469852,131.14285278320312,2754.0,146.0
ch20_URA7_URA8_001_hyperstack_crop_02,3,1,7,0.189,1,20.699999999999996,16.5,0.0,0.0,0.8013876853447556,0.8485281374238591,0.8485281374238591,196.85714721679688,1378.0,207.0
ch20_URA7_URA8_001_hyperstack_crop_02,5,1,186,5.021999999999999,4,21.109677419354842,15.303225806451614,0.3048387096774194,0.8999999999999999,3.1261836169575523,3.6931668173230285,7.476472744019913,185.81719970703125,34562.0,227.0
ch20_URA7_URA8_001_hyperstack_crop_02,6,1,87,2.3489999999999998,4,21.32758620689655,15.382758620689655,0.282758620689655,0.8999999999999999,2.8613647896985728,3.255151745908025,5.781084630007628,190.01148986816406,16531.0,227.0
ch20_URA7_URA8_001_hyperstack_crop_02,7,1,128,3.456,4,21.01171875,15.513281250000002,0.28125,0.8999999999999999,3.1354351562586076,3.413757622012275,12.05718521643601,181.046875,23174.0,215.0
ch20_URA7_URA8_001_hyperstack_crop_02,9,1,27,0.7289999999999999,2,21.177777777777777,15.711111111111112,0.044444444444444446,0.3,2.4450271995803154,2.5748949975458473,3.82867019567591,196.48147583007812,5305.0,229.0
ch20_URA7_URA8_001_hyperstack_crop_02,11,1,145,3.9149999999999996,4,20.74758620689655,16.03862068965517,0.3806896551724137,0.8999999999999999,3.043993599237356,3.97316922210807,12.348731758945046,188.30345153808594,27304.0,230.0
ch20_URA7_URA8_001_hyperstack_crop_02,12,1,87,2.3489999999999998,4,21.382758620689653,15.920689655172408,0.1517241379310345,0.8999999999999999,2.7836767652547816,3.02030491169664,5.156749457361827,189.3563232421875,16474.0,212.0
