video,mean_arc_length_um,std_arc_length_um,count,sem,ci95,length_threshold_um
ch20_URA7_URA8_002_hyperstack_crop_33,6.260992963871331,3.776069479799444,31,0.678202099393466,1.3292761148111933,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_34,1.6596742653369,0.0,1,0.0,0.0,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_35,3.3470631466506595,1.59876580070862,20,0.35749490104863557,0.7006900060553257,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_36,2.29356081629961,1.5421856304905306,36,0.25703093841508845,0.5037806392935733,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_37,3.945567758347819,2.2301886887066735,13,0.6185430516224392,1.2123443811799808,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_38,3.2953963393377337,1.7664386339470561,103,0.1740523704108573,0.3411426460052803,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_39,4.641640786499871,0.0,1,0.0,0.0,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_40,2.7377973409505985,1.6295387133656085,8,0.5761289372134117,1.129212716938287,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_41,6.159079599132441,3.4904533796183634,26,0.6845342266907661,1.3416870843139015,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_42,5.244771172980294,3.029302337728309,2,2.142040225271948,4.198398841533018,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_44,11.129178277094969,8.263749983901521,9,2.7545833279671736,5.39898332281566,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_45,6.5224851951768335,3.2030780554139673,41,0.5002367495368403,0.9804640290922069,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_46,5.0305630275354245,5.001507768481128,27,0.9625406188288612,1.886579612904568,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_47,2.7510922389527512,1.223464820628154,33,0.21297788811920737,0.41743666071364643,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_48,5.9606954349256505,3.060918481542552,48,0.4418055273215233,0.8659388335501856,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_49,2.6858043815352444,1.1069715352511904,10,0.3500551356367133,0.686108065847958,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_50,0.6956131163031934,0.0,1,0.0,0.0,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_51,4.078331474831048,2.0515191819894754,63,0.258467122162991,0.5065955594394623,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_52,3.534024922938902,1.8582783098364886,36,0.30971305163941476,0.6070375812132529,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_53,1.7472379246983036,1.0504859259574342,8,0.3714028608927656,0.7279496073498205,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_54,2.4960821649625866,1.5023333817715527,10,0.4750795291301394,0.9311558770950732,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_55,5.760982878842553,4.961133275061752,26,0.9729582838105522,1.9069982362686821,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_56,2.6210460544266105,2.2549415173929153,3,1.3018910920736628,2.5517065404643793,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_57,3.612611109313812,1.4809359347276245,46,0.218352091156322,0.42797009866639113,0.6522577197242748
